JBS lab ID	T1 ID	T2 ID	HY T2 plant ID	Gene-ration	Batch ID	T-DNA insertion		Date harvested	Location stored	Date sown	Notes	
						Homo/Hetero	No. of insertions					
06	06	10		T3	1	Hetero		08/15/06		Aug 06	
06	06	11		T3	1			08/15/06			
06	06	12		T3	1			08/15/06			
06	06	13		T3	1			08/15/06			
06	06	14		T3	1			08/15/06			
06	06	15		T3	1			08/15/06			
06	06	16		T3	1			08/15/06			
06	06	17		T3	1			08/15/06			
06	06	18		T3	1			08/15/06			
06	06	19		T3	1			08/15/06			
06	06	20		T3	1			08/15/06			
06	06	21		T3	1			08/15/06			
06	06	22		T3	1			08/15/06			
06	06	23		T3	1			08/15/06			
06	06	24		T3	1			08/15/06			
06	06	25		T3	1			08/15/06			
06	06	26		T3	1			08/15/06			
06	06	27		T3	1			08/15/06			
06	06	28		T3	1			08/15/06			
06	06	29		T3	1			08/15/06			
06	06	30		T3	1			08/15/06			
06	06	31		T3	1			08/15/06			
06	06	32		T3	1			08/15/06			
06	06	33		T3	1			08/15/06			
06	06	34		T3	1			08/15/06			
06	06	35		T3	1			08/15/06			
06	06	36		T3	1			08/15/06			
06	08	01		T3	1	Hetero		08/14/06			
06	08	02		T3	1	Hetero		08/14/06			
06	08	03		T3	1	Hetero		08/14/06			
06	08	04		T3	1	Hetero		08/14/06			
06	08	05		T3	1	Hetero		08/14/06			
06	08	06		T3	1	Hetero		08/14/06			
06	08	07		T3	1	Hetero		08/14/06			
06	08	08		T3	1	Hetero		08/14/06			
06	08	09		T3	1	Homo		08/14/06			
06	08	10		T3	1	Hetero		08/14/06			
06	08	11		T3	1			08/14/06			
06	08	12		T3	1			08/14/06			
06	08	13		T3	1			08/14/06			
06	08	14		T3	1			08/14/06			
06	08	15		T3	1			08/14/06			
06	08	16		T3	1			08/14/06			
06	08	17		T3	1			08/14/06			
06	08	18		T3	1			08/14/06			
06	08	19		T3	1			08/14/06			
06	08	20		T3	1			08/14/06			
06	08	21		T3	1			08/14/06			
06	08	22		T3	1			08/14/06			
06	08	23		T3	1			08/14/06			
06	08	24		T3	1			08/14/06			
06	08	25		T3	1			08/14/06			
06	08	26		T3	1			08/14/06			
08	07	01	8-7-1	T3	1	Homo		04/30/06		Aug 06	
08	07	02		T3	1	Homo		04/30/06		Aug 06	
08	07	03		T3	1	Hetero		04/30/06		Aug 06	
08	07	04		T3	1	Hetero		04/30/06		Aug 06	
08	07	05		T3	1	Hetero		04/30/06		Aug 06	
08	07	06		T3	1	Hetero		04/30/06		Aug 06	
08	07	07		T3	1	Homo		04/30/06		Aug 06	
08	07	08		T3	1	Hetero		04/30/06		Aug 06	
08	07	09		T3	1	Hetero		04/30/06		Aug 06	
08	07	10		T3	1	Homo		04/30/06		Aug 06	
08	07	11		T3	1			04/30/06			
08	07	12		T3	1			04/30/06			
08	07	13		T3	1			04/30/06			
08	07	14		T3	1			04/30/06			
08	07	15		T3	1			04/30/06			
08	07	16		T3	1			04/30/06			
08	07	17		T3	1			04/30/06			
08	07	18		T3	1			04/30/06			
08	07	19		T3	1			04/30/06			
08	07	20		T3	1			04/30/06			
08	07	21		T3	1			04/30/06			
08	07	22		T3	1			04/30/06			
08	07	23		T3	1			04/30/06			
08	07	24		T3	1			04/30/06			
08	07	25		T3	1			04/30/06			
08	07	26		T3	1			04/30/06			
08	07	27		T3	1			04/30/06			
08	07	28		T3	1			04/30/06			
08	07	29		T3	1			04/30/06			
08	07	30		T3	1			04/30/06			
08	07	31	8-7-31	T3	1			04/30/06			
08	07	32	8-7-32	T3	1			04/30/06			
08	14	01	8-14-1	T3	1	Hetero		05/13/06			
08	14	02	8-14-2	T3	1	Hetero		05/13/06			
08	14	03	8-14-3	T3	1	Hetero		05/13/06			
08	14	04	8-14-4	T3	1	Hetero		05/13/06			
08	14	05	8-14-5	T3	1	Hetero		05/13/06			
08	14	06	8-14-6	T3	1	Hetero		05/13/06			
08	14	07	8-14-7	T3	1	Hetero		05/13/06			
08	14	08	8-14-8	T3	1	Hetero		05/13/06				
08	14	09	8-14-9	T3	1	Hetero		05/13/06				
08	14	10	8-14-10	T3	1	Hetero		05/13/06				
08	14	11	8-14-11	T3	1	Hetero		05/13/06				
08	14	12	8-14-12	T3	1	Hetero		05/13/06				
08	14	13	8-14-13	T3	1	Hetero		05/13/06				
08	14	14	8-14-14	T3	1	Hetero		05/13/06				
08	14	15	8-14-15	T3	1	Hetero		05/13/06				
08	14	16	8-14-16	T3	1	Hetero		05/13/06				
08	14	17	8-14-17	T3	1	Hetero		05/13/06				
08	14	18	8-14-18	T3	1	Hetero		05/13/06				
08	14	19	8-14-19	T3	1	Hetero		05/13/06				
08	14	20	8-14-20	T3	1	Hetero		05/13/06				
08	14	21	8-14-21	T3	1	Hetero		05/13/06				
08	14	22	8-14-22	T3	1	Hetero		05/13/06				
08	14	23	8-14-23	T3	1	Hetero		05/13/06				
08	17	01	8-17-1	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	02	8-17-2	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	03	8-17-3	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	04	8-17-4	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	05	8-17-5	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	06	8-17-6	T3	1	Homo		04/30/06	"Box1, RT"	May 06	
08	17	07	8-17-7	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	08	8-17-8	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	09	8-17-9	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	10	8-17-10	T3	1	Homo		04/30/06	"Box1, RT"	May 06	
08	17	11	8-17-11	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	12	8-17-12	T3	1	Hetero		04/30/06	"Box1, RT"	May 06	
08	17	13		T3	1			04/30/06	"Box1, RT"		
08	17	14		T3	1			04/30/06	"Box1, RT"		
08	17	15		T3	1			04/30/06	"Box1, RT"		
08	17	16		T3	1			04/30/06	"Box1, RT"		
08	17	17		T3	1			04/30/06	"Box1, RT"		
08	17	18		T3	1			04/30/06	"Box1, RT"		
08	17	19		T3	1			04/30/06	"Box1, RT"		
08	17	20		T3	1			04/30/06	"Box1, RT"		
08	17	21		T3	1			04/30/06	"Box1, RT"		
08	17	22		T3	1			04/30/06	"Box1, RT"		
08	17	23		T3	1			04/30/06	"Box1, RT"		
08	17	24		T3	1			04/30/06	"Box1, RT"		
08	17	25		T3	1			04/30/06	"Box1, RT"		
08	17	26		T3	1			04/30/06	"Box1, RT"		
08	17	27		T3	1			04/30/06	"Box1, RT"		
08	17	28		T3	1			04/30/06	"Box1, RT"		
08	17	29		T3	1			04/30/06	"Box1, RT"		
08	17	30		T3	1			04/30/06	"Box1, RT"		
09	01	01	9-1-1	T3	1			04/29/06			
09	01	02		T3	1			04/29/06			
09	01	03		T3	1			04/29/06			
09	01	04		T3	1			04/29/06			
