Library	ID	Plate	Well	Raw Value	Score	Stdev
MS	ST001992	AT004-01	G08	4952	1.043858609	60.80296045
MS	ST002061	AT004-01	G09	5147	0.96554653	113.6353818
MS	ST002104	AT004-01	G10	7692.333333	1.134518281	771.170755
MS	ST002216	AT004-01	G11	6598.333333	1.302024238	796.3173572
MS	L130982	AT004-01	H02	5398	1.137873338	137.1276777
MS	L131377	AT004-01	H03	5417.333333	1.016259453	55.5097589
MS	L132438	AT004-01	H04	6115	0.901882301	462.3548421
MS	L132748	AT004-01	H05	5363.666667	1.05839212	509.0720316
MS	L133248	AT004-01	H06	6899.333333	1.454347435	115.6301575
MS	ST001943	AT004-01	H07	6097.666667	1.143885932	233.6714217
MS	ST002010	AT004-01	H08	8638.333333	1.274040874	956.3515741
MS	ST002076	AT004-01	H09	6335.333333	1.25012744	20.81665999
MS	ST002108	AT004-01	H10	6101	1.286062474	77.01947806
MS	ST002219	AT004-01	H11	5940	1.114308605	112.0892502
MS	L133329	AT005-01	A02	5830	1.157347222	403.7734513
MS	L135631	AT005-01	A03	5450	1.083614201	480.5382399
MS	L136964	AT005-01	A04	3953.666667	0.915168252	339.9195983
MS	L140384	AT005-01	A05	4705.333333	1.008923799	442.5803129
MS	L142409	AT005-01	A06	5957.333333	1.182624903	368.8933902
MS	ST002228	AT005-01	A07	5971.333333	1.187270018	426.8504812
MS	ST002270	AT005-01	A08	4730.333333	1.094945845	364.0608923
MS	ST002352	AT005-01	A09	6353.666667	1.362361613	507.9963911
MS	ST002415	AT005-01	A10	4158.333333	0.825494945	160.5127202
MS	ST002474	AT005-01	A11	5585	1.110456021	424.4337404
MS	L133418	AT005-01	B02	4454.666667	1.031136373	363.9729843
MS	L135739	AT005-01	B03	5079.333333	1.089117373	374.6949871
MS	L137278	AT005-01	B04	5517.666667	1.095344115	278.4067767
MS	L140759	AT005-01	B05	5829.333333	1.159036401	280.4288383
MS	L142522	AT005-01	B06	5453	1.26222388	285.1122586
MS	ST002235	AT005-01	B07	5496.666667	1.178602539	334.027444
MS	ST002274	AT005-01	B08	5918	1.174816614	40.28647416
MS	ST002364	AT005-01	B09	6307.333333	1.254076325	341.921531
MS	ST002416	AT005-01	B10	4271	0.988622445	348.6731994
MS	ST002475	AT005-01	B11	5211	1.117349514	341.8610829
MS	L133752	AT005-01	C02	5621	1.115857416	298.0201335
MS	L135844	AT005-01	C03	6186.333333	1.230018102	316.4448346
MS	L137286	AT005-01	C04	4470.333333	1.034762788	335.5358898
MS	L140848	AT005-01	C05	4770.666667	1.022932658	352.9678928
MS	L142859	AT005-01	C06	4311	0.855801694	207.2896524
MS	ST002236	AT005-01	C07	6190.666667	1.230879691	312.6824801
MS	ST002291	AT005-01	C08	4686.333333	1.08476102	281.6564101
MS	ST002376	AT005-01	C09	4888.666667	1.048234374	231.6987987
MS	ST002445	AT005-01	C10	5906.666667	1.172566768	220.8627024
MS	ST002483	AT005-01	C11	5434.333333	1.080499225	371.6373681
MS	L133760	AT005-01	D02	4728	1.094405741	298.4074396
MS	L135909	AT005-01	D03	6005.333333	1.287671518	455.9521174
MS	L137340	AT005-01	D04	5703.666667	1.132268057	358.2531693
MS	L140899	AT005-01	D05	6540.333333	1.300403318	340.9183676
MS	L142972	AT005-01	D06	4836.666667	1.119559172	323.4321155
MS	ST002240	AT005-01	D07	4916.666667	1.054238171	358.8667348
MS	ST002292	AT005-01	D08	6012.666667	1.193609445	414.7099388
MS	ST002381	AT005-01	D09	5398.666667	1.073407682	172.4016628
MS	ST002447	AT005-01	D10	4768.333333	1.10374183	240.1339904
MS	ST002488	AT005-01	D11	5233	1.122066783	287.1254081
MS	L133817	AT005-01	E02	4642.666667	0.921642774	90.38989619
MS	L136131	AT005-01	E03	4526.666667	0.90002941	409.8662383
MS	L137707	AT005-01	E04	5041.333333	1.16693404	623.4423256
MS	L141054	AT005-01	E05	4172	0.89456576	273.3184955
MS	L143014	AT005-01	E06	5299	1.051935322	192.5798536
MS	ST002245	AT005-01	E07	5208.333333	1.03556403	576.1947009
MS	ST002295	AT005-01	E08	5425	1.255742627	539.3115982
MS	ST002393	AT005-01	E09	3734.333333	0.800720694	251.0325344
MS	ST002450	AT005-01	E10	5252.666667	1.042737423	61.27261487
MS	ST002495	AT005-01	E11	4729.666667	0.940391554	556.5800332
MS	L134759	AT005-01	F02	6365.666667	1.473481841	308.2926099
MS	L136166	AT005-01	F03	5232.666667	1.12199531	148.5406791
MS	L137715	AT005-01	F04	6697	1.329460437	393.005089
MS	L142018	AT005-01	F05	5632.333333	1.119867227	982.5890969
MS	L143111	AT005-01	F06	4766.333333	1.103278884	256.0670485
MS	ST002254	AT005-01	F07	4730	1.014212858	823.1652325
MS	ST002326	AT005-01	F08	6188	1.228415885	1058.079392
MS	ST002407	AT005-01	F09	5617.333333	1.116884802	350.8850714
MS	ST002452	AT005-01	F10	4214.666667	0.975582782	276.7531993
MS	ST002511	AT005-01	F11	4898.333333	1.050307114	78.8500687
MS	L135062	AT005-01	G02	5370	1.066029946	0
MS	L136689	AT005-01	G03	4340	0.862914795	0
MS	L138827	AT005-01	G04	4074	0.943022205	0
MS	L142034	AT005-01	G05	5580	1.196470982	0
MS	L143278	AT005-01	G06	5622.333333	1.116122104	226.7031833
MS	ST002255	AT005-01	G07	4289	0.852774552	618.5701254
MS	ST002338	AT005-01	G08	6419	1.485827083	295.9577673
MS	ST002413	AT005-01	G09	4141.666667	0.888061646	241.226726
MS	ST002465	AT005-01	G10	5491.333333	1.090116532	292.6949493
MS	ST002518	AT005-01	G11	4884	0.971077387	430.1313753
MS	L135461	AT005-01	H02	4834	1.11894191	201.7225818
MS	L136891	AT005-01	H03	5058.333333	1.084614526	305.4330259
MS	L138959	AT005-01	H04	5080.666667	1.008592702	174.2995506
MS	L142182	AT005-01	H05	5643.666667	1.122120614	795.6458592
MS	L143677	AT005-01	H06	4987	1.154357324	369.4766569
MS	ST002263	AT005-01	H07	5458	1.170311581	174.2182539
MS	ST002347	AT005-01	H08	5806	1.152582842	262.5128568
MS	ST002414	AT005-01	H09	5620.666667	1.117547563	533.9001155
MS	ST002473	AT005-01	H10	3391	0.784925945	381.7080036
MS	ST002538	AT005-01	H11	5237.333333	1.122995942	324.8266204
MS	L143952	AT006-01	A02	4700.333333	0.933090519	190.0140346
MS	L145696	AT006-01	A03	4676.333333	0.929787378	861.975251
MS	L145815	AT006-01	A04	3796.666667	0.878826945	143.7787652
MS	L146749	AT006-01	A05	4227.333333	0.906430406	124.9973333
MS	L147591	AT006-01	A06	2845.666667	0.564909848	162.1922727
MS	ST002553	AT006-01	A07	3003	0.597081366	252.5727618
MS	ST002601	AT006-01	A08	2557.666667	0.592031532	42.85246006
MS	ST002686	AT006-01	A09	2732.333333	0.585870528	213.0125192
MS	ST002822	AT006-01	A10	3495.666667	0.69394513	116.9886034
MS	ST002923	AT006-01	A11	4595	0.91361601	417.0035971
MS	L144037	AT006-01	B02	4869.666667	1.127197791	198.0538647
